Date,Product Id,Country,Product Category,Cost Price,Sale Price,Quantity,Cost Price Value,Sales Price Value,Discount,Final Sales Price,Profit
2017-02-03,7,India,Elite,95,165,45,4275,7425,0.05,7054,2779
2017-02-04,5,Canada,Standard,75,145,40,3000,5800,0,5800,2800
2017-02-05,9,Canada,Premium,125,230,25,3125,5750,0.35,3738,613
2017-02-06,3,United States,Standard,40,100,45,1800,4500,0,4500,2700
2017-02-07,5,Canada,Standard,75,145,45,3375,6525,0.35,4241,867
2017-02-08,3,United States,Standard,40,100,25,1000,2500,0.35,1625,625
2017-02-09,8,United Kingdom,Premium,110,220,35,3850,7700,0,7700,3850
2017-02-10,9,Canada,Premium,125,230,30,3750,6900,0,6900,3150
2017-02-11,9,Singapore,Premium,125,230,30,3750,6900,0.1,6210,2460
2017-02-12,9,Canada,Premium,125,230,45,5625,10350,0,10350,4725
2017-02-13,2,Singapore,Standard,80,135,30,2400,4050,0.35,2633,233
2017-02-14,6,United States,Elite,100,190,25,2500,4750,0.1,4275,1775
2017-02-15,7,United States,Elite,95,165,30,2850,4950,0.05,4703,1853
2017-02-16,9,Netherlands,Premium,125,230,30,3750,6900,0,6900,3150
2017-02-17,6,United States,Elite,100,190,40,4000,7600,0,7600,3600
2017-02-18,9,United States,Premium,125,230,40,5000,9200,0.1,8280,3280
2017-02-19,9,United Kingdom,Premium,125,230,45,5625,10350,0.05,9833,4208
2017-02-20,1,Canada,Standard,60,100,35,2100,3500,0.05,3325,1225
2017-02-21,9,Canada,Premium,125,230,30,3750,6900,0.05,6555,2805
2017-02-22,5,United Kingdom,Standard,75,145,35,2625,5075,0,5075,2450
2017-02-23,7,United States,Elite,95,165,40,3800,6600,0,6600,2800
2017-02-24,9,Malaysia,Premium,125,230,25,3125,5750,0,5750,2625
2017-02-25,1,United States,Standard,60,100,45,2700,4500,0.05,4275,1575
2017-02-26,9,Netherlands,Premium,125,230,35,4375,8050,0,8050,3675
2017-02-27,9,Singapore,Premium,125,230,40,5000,9200,0.35,5980,980
2017-02-28,1,United States,Standard,60,100,25,1500,2500,0.05,2375,875
2017-03-01,7,Malaysia,Elite,95,165,40,3800,6600,0.25,4950,1150
2017-03-02,7,United States,Elite,95,165,25,2375,4125,0,4125,1750
2017-03-03,10,United States,Premium,150,280,35,5250,9800,0,9800,4550
2017-03-04,5,Canada,Standard,75,145,35,2625,5075,0.05,4821,2197
2017-03-05,7,United States,Elite,95,165,35,3325,5775,0.25,4331,1007
2017-03-06,5,India,Standard,75,145,35,2625,5075,0.35,3299,674
2017-03-07,8,China,Premium,110,220,30,3300,6600,0.25,4950,1650
2017-03-08,9,United States,Premium,125,230,30,3750,6900,0.1,6210,2460
2017-03-09,9,Singapore,Premium,125,230,30,3750,6900,0.35,4485,735
2017-03-10,1,United States,Standard,60,100,40,2400,4000,0.35,2600,200
2017-03-11,7,United States,Elite,95,165,30,2850,4950,0.1,4455,1605
2017-03-12,4,United States,Standard,50,95,45,2250,4275,0.1,3848,1598
2017-03-13,1,Netherlands,Standard,60,100,30,1800,3000,0.05,2850,1050
2017-03-14,1,United States,Standard,60,100,30,1800,3000,0.35,1950,150
2017-03-15,7,Singapore,Elite,95,165,35,3325,5775,0.35,3754,429
2017-03-16,5,United States,Standard,75,145,30,2250,4350,0.05,4133,1883
2017-03-17,9,Canada,Premium,125,230,45,5625,10350,0.1,9315,3690
2017-03-18,10,United Kingdom,Premium,150,280,45,6750,12600,0.35,8190,1440
2017-03-19,9,United Kingdom,Premium,125,230,35,4375,8050,0.25,6038,1663
2017-03-20,2,Netherlands,Standard,80,135,45,3600,6075,0.35,3949,349
2017-03-21,6,Canada,Elite,100,190,45,4500,8550,0,8550,4050
2017-03-22,7,United Kingdom,Elite,95,165,25,2375,4125,0.1,3713,1338
2017-03-23,2,United States,Standard,80,135,35,2800,4725,0.35,3071,272
2017-03-24,9,Canada,Premium,125,230,35,4375,8050,0.05,7648,3273
2017-03-25,1,United States,Standard,60,100,30,1800,3000,0.25,2250,450
2017-03-26,3,India,Standard,40,100,30,1200,3000,0,3000,1800
2017-03-27,7,United States,Elite,95,165,30,2850,4950,0.05,4703,1853
2017-03-28,7,United States,Elite,95,165,40,3800,6600,0.05,6270,2470
2017-03-29,7,India,Elite,95,165,40,3800,6600,0.1,5940,2140
2017-03-30,5,United Kingdom,Standard,75,145,35,2625,5075,0.05,4821,2197
2017-03-31,6,Netherlands,Elite,100,190,30,3000,5700,0,5700,2700
2017-04-01,7,United States,Elite,95,165,35,3325,5775,0.35,3754,429
2017-04-02,5,United Kingdom,Standard,75,145,35,2625,5075,0,5075,2450
2017-04-03,7,Singapore,Elite,95,165,45,4275,7425,0.15,6311,2037
2017-04-04,5,United States,Standard,75,145,30,2250,4350,0,4350,2100
2017-04-05,9,United Kingdom,Premium,125,230,45,5625,10350,0.35,6728,1103
2017-04-06,10,United Kingdom,Premium,150,280,45,6750,12600,0.25,9450,2700
2017-04-07,7,United States,Elite,95,165,35,3325,5775,0.05,5486,2162
2017-04-08,1,Canada,Standard,60,100,30,1800,3000,0.05,2850,1050
2017-04-09,7,United States,Elite,95,165,30,2850,4950,0.35,3218,368
2017-04-10,9,Malaysia,Premium,125,230,30,3750,6900,0.35,4485,735
2017-04-11,8,United States,Premium,110,220,35,3850,7700,0.05,7315,3465
2017-04-12,1,United Kingdom,Standard,60,100,45,2700,4500,0.05,4275,1575
2017-04-13,6,United States,Elite,100,190,30,3000,5700,0.1,5130,2130
2017-04-14,3,Canada,Standard,40,100,25,1000,2500,0,2500,1500
2017-04-15,7,United States,Elite,95,165,30,2850,4950,0.35,3218,368
2017-04-16,3,India,Standard,40,100,35,1400,3500,0.35,2275,875
2017-04-17,8,Singapore,Premium,110,220,40,4400,8800,0.1,7920,3520
2017-04-18,6,Singapore,Elite,100,190,45,4500,8550,0.25,6413,1913
2017-04-19,9,Netherlands,Premium,125,230,45,5625,10350,0.05,9833,4208
2017-04-20,5,Canada,Standard,75,145,30,2250,4350,0.35,2828,578
2017-04-21,7,United States,Elite,95,165,25,2375,4125,0.05,3919,1544
2017-04-22,7,United States,Elite,95,165,30,2850,4950,0,4950,2100
2017-04-23,7,United States,Elite,95,165,25,2375,4125,0.1,3713,1338
2017-04-24,3,Brazil,Standard,40,100,25,1000,2500,0.05,2375,1375
2017-04-25,7,Canada,Elite,95,165,35,3325,5775,0.15,4909,1584
2017-04-26,9,Netherlands,Premium,125,230,25,3125,5750,0.1,5175,2050
2017-04-27,3,United Kingdom,Standard,40,100,30,1200,3000,0,3000,1800
2017-04-28,5,United States,Standard,75,145,30,2250,4350,0,4350,2100
2017-04-29,2,United States,Standard,80,135,35,2800,4725,0.05,4489,1689
2017-04-30,8,India,Premium,110,220,35,3850,7700,0,7700,3850
2017-05-01,8,Canada,Premium,110,220,35,3850,7700,0.1,6930,3080
2017-05-02,3,United States,Standard,40,100,30,1200,3000,0.15,2550,1350
2017-05-03,9,United States,Premium,125,230,30,3750,6900,0,6900,3150
2017-05-04,9,United States,Premium,125,230,35,4375,8050,0.35,5233,858
2017-05-05,3,Singapore,Standard,40,100,45,1800,4500,0.05,4275,2475
2017-05-06,7,Brazil,Elite,95,165,45,4275,7425,0.1,6683,2408
2017-05-07,3,Malaysia,Standard,40,100,45,1800,4500,0.35,2925,1125
2017-05-08,9,United States,Premium,125,230,35,4375,8050,0,8050,3675
2017-05-09,9,United States,Premium,125,230,30,3750,6900,0,6900,3150
2017-05-10,7,United States,Elite,95,165,25,2375,4125,0,4125,1750
2017-05-11,2,United Kingdom,Standard,80,135,25,2000,3375,0,3375,1375
2017-05-12,10,United Kingdom,Premium,150,280,30,4500,8400,0.05,7980,3480
2017-05-13,9,United States,Premium,125,230,45,5625,10350,0,10350,4725
2017-05-14,7,United States,Elite,95,165,25,2375,4125,0.1,3713,1338
2017-05-15,2,United States,Standard,80,135,35,2800,4725,0.1,4253,1453
2017-05-16,7,Malaysia,Elite,95,165,35,3325,5775,0,5775,2450
2017-05-17,4,United States,Standard,50,95,35,1750,3325,0,3325,1575
2017-05-18,7,Canada,Elite,95,165,35,3325,5775,0.1,5198,1873
2017-05-19,8,United States,Premium,110,220,35,3850,7700,0.35,5005,1155
2017-05-20,2,United States,Standard,80,135,35,2800,4725,0,4725,1925
2017-05-21,6,United Kingdom,Elite,100,190,35,3500,6650,0.1,5985,2485
2017-05-22,8,United States,Premium,110,220,30,3300,6600,0,6600,3300
2017-05-23,2,United States,Standard,80,135,45,3600,6075,0,6075,2475
2017-05-24,10,Singapore,Premium,150,280,35,5250,9800,0.35,6370,1120
2017-05-25,10,Nepal,Premium,150,280,35,5250,9800,0.15,8330,3080
2017-05-26,7,United States,Elite,95,165,30,2850,4950,0,4950,2100
2017-05-27,2,United States,Standard,80,135,45,3600,6075,0,6075,2475
2017-05-28,6,United States,Elite,100,190,25,2500,4750,0.1,4275,1775
2017-05-29,1,United States,Standard,60,100,35,2100,3500,0.05,3325,1225
2017-05-30,5,Canada,Standard,75,145,30,2250,4350,0,4350,2100
2017-05-31,2,United Kingdom,Standard,80,135,25,2000,3375,0.05,3206,1207
2017-06-01,7,Canada,Elite,95,165,40,3800,6600,0.35,4290,490
2017-06-02,10,United States,Premium,150,280,30,4500,8400,0.05,7980,3480
2017-06-03,7,Canada,Elite,95,165,30,2850,4950,0,4950,2100
2017-06-04,5,United Kingdom,Standard,75,145,35,2625,5075,0,5075,2450
2017-06-05,3,United States,Standard,40,100,45,1800,4500,0,4500,2700
2017-06-06,7,United States,Elite,95,165,45,4275,7425,0,7425,3150
2017-06-07,6,Singapore,Elite,100,190,35,3500,6650,0.05,6318,2818
2017-06-08,7,Netherlands,Elite,95,165,30,2850,4950,0.05,4703,1853
2017-06-09,3,United Kingdom,Standard,40,100,30,1200,3000,0,3000,1800
2017-06-10,7,United States,Elite,95,165,35,3325,5775,0.05,5486,2162
2017-06-11,7,United States,Elite,95,165,45,4275,7425,0.05,7054,2779
2017-06-12,8,Singapore,Premium,110,220,45,4950,9900,0.35,6435,1485
2017-06-13,2,Canada,Standard,80,135,30,2400,4050,0.35,2633,233
2017-06-14,1,Canada,Standard,60,100,25,1500,2500,0,2500,1000
2017-06-15,5,United States,Standard,75,145,35,2625,5075,0.25,3806,1182
2017-06-16,9,Canada,Premium,125,230,35,4375,8050,0.25,6038,1663
2017-06-17,4,United States,Standard,50,95,25,1250,2375,0,2375,1125
2017-06-18,7,United States,Elite,95,165,35,3325,5775,0,5775,2450
2017-06-19,6,United States,Elite,100,190,35,3500,6650,0,6650,3150
2017-06-20,8,Canada,Premium,110,220,25,2750,5500,0.35,3575,825
2017-06-21,9,United States,Premium,125,230,45,5625,10350,0.35,6728,1103
2017-06-22,9,United States,Premium,125,230,35,4375,8050,0.25,6038,1663
2017-06-23,9,United Kingdom,Premium,125,230,30,3750,6900,0.15,5865,2115
2017-06-24,2,Canada,Standard,80,135,35,2800,4725,0,4725,1925
2017-06-25,7,United States,Elite,95,165,30,2850,4950,0.35,3218,368
2017-06-26,9,India,Premium,125,230,35,4375,8050,0.35,5233,858
2017-06-27,5,United States,Standard,75,145,35,2625,5075,0.35,3299,674
2017-06-28,5,United Kingdom,Standard,75,145,25,1875,3625,0.15,3081,1207
2017-06-29,10,United States,Premium,150,280,35,5250,9800,0.05,9310,4060
2017-06-30,9,Canada,Premium,125,230,40,5000,9200,0.1,8280,3280
2017-07-01,9,United Kingdom,Premium,125,230,35,4375,8050,0.25,6038,1663
2017-07-02,9,United States,Premium,125,230,45,5625,10350,0.35,6728,1103
2017-07-03,6,Singapore,Elite,100,190,45,4500,8550,0.35,5558,1058
2017-07-04,8,China,Premium,110,220,25,2750,5500,0.15,4675,1925
2017-07-05,7,United States,Elite,95,165,35,3325,5775,0.1,5198,1873
2017-07-06,9,United Kingdom,Premium,125,230,45,5625,10350,0.05,9833,4208
2017-07-07,5,Canada,Standard,75,145,35,2625,5075,0.25,3806,1182
2017-07-08,3,Canada,Standard,40,100,45,1800,4500,0,4500,2700
2017-07-09,7,United States,Elite,95,165,35,3325,5775,0.1,5198,1873
2017-07-10,7,United States,Elite,95,165,35,3325,5775,0,5775,2450
2017-07-11,3,Canada,Standard,40,100,30,1200,3000,0.25,2250,1050
2017-07-12,7,United States,Elite,95,165,35,3325,5775,0.35,3754,429
2017-07-13,6,United States,Elite,100,190,35,3500,6650,0.05,6318,2818
2017-07-14,1,United States,Standard,60,100,25,1500,2500,0,2500,1000
2017-07-15,9,United States,Premium,125,230,40,5000,9200,0.1,8280,3280
2017-07-16,5,United States,Standard,75,145,30,2250,4350,0.35,2828,578
2017-07-17,8,United States,Premium,110,220,25,2750,5500,0.1,4950,2200
2017-07-18,5,United States,Standard,75,145,30,2250,4350,0.35,2828,578
2017-07-19,6,Netherlands,Elite,100,190,30,3000,5700,0,5700,2700
2017-07-20,5,Singapore,Standard,75,145,30,2250,4350,0.1,3915,1665
2017-07-21,7,Nepal,Elite,95,165,35,3325,5775,0,5775,2450
2017-07-22,9,Singapore,Premium,125,230,30,3750,6900,0,6900,3150
2017-07-23,5,Singapore,Standard,75,145,35,2625,5075,0.05,4821,2197
2017-07-24,7,Italy,Elite,95,165,30,2850,4950,0.1,4455,1605
2017-07-25,9,United States,Premium,125,230,35,4375,8050,0.05,7648,3273
2017-07-26,3,United Kingdom,Standard,40,100,25,1000,2500,0.25,1875,875
2017-07-27,9,United States,Premium,125,230,25,3125,5750,0.05,5463,2338
2017-07-28,9,Canada,Premium,125,230,25,3125,5750,0.25,4313,1188
2017-07-29,3,United Kingdom,Standard,40,100,30,1200,3000,0,3000,1800
2017-07-30,8,Singapore,Premium,110,220,30,3300,6600,0.1,5940,2640
2017-07-31,5,United Kingdom,Standard,75,145,35,2625,5075,0.25,3806,1182
2017-08-01,1,Canada,Standard,60,100,45,2700,4500,0.25,3375,675
2017-08-02,9,India,Premium,125,230,25,3125,5750,0,5750,2625
2017-08-03,7,Canada,Elite,95,165,30,2850,4950,0.1,4455,1605
2017-08-04,3,United States,Standard,40,100,30,1200,3000,0,3000,1800
2017-08-05,8,India,Premium,110,220,35,3850,7700,0,7700,3850
2017-08-06,9,United States,Premium,125,230,25,3125,5750,0.05,5463,2338
2017-08-07,2,Canada,Standard,80,135,30,2400,4050,0.05,3848,1448
2017-08-08,6,United States,Elite,100,190,25,2500,4750,0.05,4513,2013
2017-08-09,8,Singapore,Premium,110,220,35,3850,7700,0.05,7315,3465
2017-08-10,7,India,Elite,95,165,25,2375,4125,0.1,3713,1338
2017-08-11,8,United States,Premium,110,220,35,3850,7700,0.15,6545,2695
2017-08-12,6,United Kingdom,Elite,100,190,35,3500,6650,0.05,6318,2818
2017-08-13,7,Singapore,Elite,95,165,35,3325,5775,0.25,4331,1007
2017-08-14,10,Italy,Premium,150,280,25,3750,7000,0.05,6650,2900
2017-08-15,4,Malaysia,Standard,50,95,35,1750,3325,0.1,2993,1243
2017-08-16,1,Canada,Standard,60,100,30,1800,3000,0,3000,1200
2017-08-17,8,Canada,Premium,110,220,30,3300,6600,0.05,6270,2970
2017-08-18,10,United States,Premium,150,280,45,6750,12600,0.35,8190,1440
2017-08-19,2,India,Standard,80,135,35,2800,4725,0,4725,1925
2017-08-20,9,Canada,Premium,125,230,35,4375,8050,0.05,7648,3273
2017-08-21,1,Netherlands,Standard,60,100,35,2100,3500,0.35,2275,175
2017-08-22,8,Singapore,Premium,110,220,30,3300,6600,0,6600,3300
2017-08-23,6,Singapore,Elite,100,190,30,3000,5700,0,5700,2700
2017-08-24,5,Malaysia,Standard,75,145,35,2625,5075,0.05,4821,2197
2017-08-25,5,United States,Standard,75,145,25,1875,3625,0.1,3263,1388
2017-08-26,6,Singapore,Elite,100,190,25,2500,4750,0.35,3088,588
2017-08-27,9,United Kingdom,Premium,125,230,45,5625,10350,0.35,6728,1103
2017-08-28,3,Nepal,Standard,40,100,35,1400,3500,0.15,2975,1575
2017-08-29,3,United States,Standard,40,100,40,1600,4000,0.1,3600,2000
2017-08-30,9,Singapore,Premium,125,230,30,3750,6900,0.1,6210,2460
2017-08-31,5,India,Standard,75,145,35,2625,5075,0.25,3806,1182
2017-09-01,7,United States,Elite,95,165,45,4275,7425,0.05,7054,2779
2017-09-02,7,United States,Elite,95,165,30,2850,4950,0,4950,2100
2017-09-03,7,United Kingdom,Elite,95,165,25,2375,4125,0.05,3919,1544
2017-09-04,2,Singapore,Standard,80,135,30,2400,4050,0,4050,1650
2017-09-05,2,Singapore,Standard,80,135,25,2000,3375,0,3375,1375
2017-09-06,1,United States,Standard,60,100,35,2100,3500,0.35,2275,175
2017-09-07,7,United States,Elite,95,165,35,3325,5775,0.05,5486,2162
2017-09-08,7,Singapore,Elite,95,165,25,2375,4125,0.35,2681,307
2017-09-09,6,United Kingdom,Elite,100,190,35,3500,6650,0.1,5985,2485
2017-09-10,8,Canada,Premium,110,220,35,3850,7700,0,7700,3850
2017-09-11,7,United States,Elite,95,165,35,3325,5775,0,5775,2450
2017-09-12,9,India,Premium,125,230,30,3750,6900,0,6900,3150
2017-09-13,10,United States,Premium,150,280,40,6000,11200,0,11200,5200
2017-09-14,9,United States,Premium,125,230,25,3125,5750,0,5750,2625
2017-09-15,5,Canada,Standard,75,145,25,1875,3625,0,3625,1750
2017-09-16,3,Canada,Standard,40,100,30,1200,3000,0.1,2700,1500
2017-09-17,4,United States,Standard,50,95,25,1250,2375,0.25,1781,532
2017-09-18,9,United Kingdom,Premium,125,230,35,4375,8050,0.05,7648,3273
2017-09-19,3,Singapore,Standard,40,100,40,1600,4000,0,4000,2400
2017-09-20,6,United States,Elite,100,190,30,3000,5700,0.05,5415,2415
2017-09-21,9,Canada,Premium,125,230,45,5625,10350,0.35,6728,1103
2017-09-22,7,China,Elite,95,165,30,2850,4950,0.1,4455,1605
2017-09-23,9,United States,Premium,125,230,35,4375,8050,0.05,7648,3273
2017-09-24,9,Singapore,Premium,125,230,30,3750,6900,0.1,6210,2460
2017-09-25,7,United States,Elite,95,165,45,4275,7425,0,7425,3150
2017-09-26,6,United States,Elite,100,190,35,3500,6650,0.35,4323,823
2017-09-27,1,Singapore,Standard,60,100,25,1500,2500,0.15,2125,625
2017-09-28,1,China,Standard,60,100,35,2100,3500,0.35,2275,175
2017-09-29,9,Singapore,Premium,125,230,25,3125,5750,0.35,3738,613
2017-09-30,2,United States,Standard,80,135,30,2400,4050,0.25,3038,638
2017-10-01,5,Canada,Standard,75,145,35,2625,5075,0,5075,2450
2017-10-02,3,Italy,Standard,40,100,25,1000,2500,0.1,2250,1250
2017-10-03,4,Canada,Standard,50,95,40,2000,3800,0.1,3420,1420
2017-10-04,1,United Kingdom,Standard,60,100,35,2100,3500,0.35,2275,175
2017-10-05,1,United States,Standard,60,100,35,2100,3500,0,3500,1400
2017-10-06,9,Nepal,Premium,125,230,30,3750,6900,0,6900,3150
2017-10-07,1,United States,Standard,60,100,45,2700,4500,0.05,4275,1575
2017-10-08,3,United States,Standard,40,100,45,1800,4500,0.25,3375,1575
2017-10-09,3,Singapore,Standard,40,100,45,1800,4500,0,4500,2700
2017-10-10,7,United States,Elite,95,165,35,3325,5775,0,5775,2450
2017-10-11,9,Singapore,Premium,125,230,45,5625,10350,0.25,7763,2138
2017-10-12,4,United States,Standard,50,95,40,2000,3800,0.05,3610,1610
2017-10-13,3,United States,Standard,40,100,30,1200,3000,0.25,2250,1050
2017-10-14,9,United States,Premium,125,230,45,5625,10350,0,10350,4725
2017-10-15,2,United States,Standard,80,135,30,2400,4050,0.1,3645,1245
2017-10-16,10,United States,Premium,150,280,45,6750,12600,0.35,8190,1440
2017-10-17,5,Singapore,Standard,75,145,45,3375,6525,0,6525,3150
2017-10-18,1,United States,Standard,60,100,45,2700,4500,0,4500,1800
2017-10-19,9,Canada,Premium,125,230,40,5000,9200,0.05,8740,3740
2017-10-20,9,Canada,Premium,125,230,45,5625,10350,0.25,7763,2138
2017-10-21,3,United States,Standard,40,100,35,1400,3500,0.15,2975,1575
2017-10-22,7,Singapore,Elite,95,165,45,4275,7425,0.05,7054,2779
2017-10-23,5,United States,Standard,75,145,35,2625,5075,0.05,4821,2197
2017-10-24,3,Singapore,Standard,40,100,35,1400,3500,0.1,3150,1750
2017-10-25,7,Canada,Elite,95,165,45,4275,7425,0,7425,3150
2017-10-26,7,Singapore,Elite,95,165,25,2375,4125,0.25,3094,719
2017-10-27,1,United Kingdom,Standard,60,100,25,1500,2500,0.1,2250,750
2017-10-28,6,Nepal,Elite,100,190,30,3000,5700,0.15,4845,1845
2017-10-29,5,Singapore,Standard,75,145,35,2625,5075,0.15,4314,1689
2017-10-30,5,Canada,Standard,75,145,35,2625,5075,0,5075,2450
2017-10-31,7,Singapore,Elite,95,165,45,4275,7425,0,7425,3150
2017-11-01,1,Netherlands,Standard,60,100,35,2100,3500,0.25,2625,525
2017-11-02,7,United States,Elite,95,165,25,2375,4125,0.35,2681,307
2017-11-03,5,Malaysia,Standard,75,145,40,3000,5800,0.25,4350,1350
2017-11-04,9,Singapore,Premium,125,230,45,5625,10350,0.25,7763,2138
2017-11-05,3,Canada,Standard,40,100,30,1200,3000,0.35,1950,750
2017-11-06,7,United States,Elite,95,165,30,2850,4950,0.35,3218,368
2017-11-07,1,Singapore,Standard,60,100,25,1500,2500,0,2500,1000
2017-11-08,10,United States,Premium,150,280,40,6000,11200,0,11200,5200
2017-11-09,4,Singapore,Standard,50,95,45,2250,4275,0.1,3848,1598
2017-11-10,6,India,Elite,100,190,30,3000,5700,0.15,4845,1845
2017-11-11,8,United States,Premium,110,220,25,2750,5500,0.05,5225,2475
2017-11-12,3,United States,Standard,40,100,45,1800,4500,0.35,2925,1125
2017-11-13,9,United States,Premium,125,230,25,3125,5750,0.1,5175,2050
2017-11-14,9,United Kingdom,Premium,125,230,30,3750,6900,0.05,6555,2805
2017-11-15,3,Netherlands,Standard,40,100,25,1000,2500,0.25,1875,875
2017-11-16,5,Nepal,Standard,75,145,35,2625,5075,0,5075,2450
2017-11-17,6,Canada,Elite,100,190,35,3500,6650,0,6650,3150
2017-11-18,1,United States,Standard,60,100,45,2700,4500,0.35,2925,225
2017-11-19,7,United States,Elite,95,165,35,3325,5775,0.15,4909,1584
2017-11-20,1,Singapore,Standard,60,100,30,1800,3000,0.35,1950,150
2017-11-21,9,United Kingdom,Premium,125,230,45,5625,10350,0.25,7763,2138
2017-11-22,5,Singapore,Standard,75,145,40,3000,5800,0,5800,2800
2017-11-23,9,United States,Premium,125,230,40,5000,9200,0.25,6900,1900
2017-11-24,6,Singapore,Elite,100,190,30,3000,5700,0.1,5130,2130
2017-11-25,8,Netherlands,Premium,110,220,35,3850,7700,0.1,6930,3080
2017-11-26,9,Netherlands,Premium,125,230,35,4375,8050,0,8050,3675
2017-11-27,9,United Kingdom,Premium,125,230,25,3125,5750,0.05,5463,2338
2017-11-28,1,Canada,Standard,60,100,35,2100,3500,0,3500,1400
2017-11-29,7,Netherlands,Elite,95,165,25,2375,4125,0.25,3094,719
2017-11-30,8,Singapore,Premium,110,220,35,3850,7700,0.05,7315,3465
2017-12-01,6,United States,Elite,100,190,25,2500,4750,0.05,4513,2013
2017-12-02,5,United States,Standard,75,145,40,3000,5800,0,5800,2800
2017-12-03,7,Netherlands,Elite,95,165,35,3325,5775,0.05,5486,2162
2017-12-04,5,Brazil,Standard,75,145,30,2250,4350,0.05,4133,1883
2017-12-05,7,Canada,Elite,95,165,45,4275,7425,0.05,7054,2779
2017-12-06,7,United States,Elite,95,165,25,2375,4125,0.15,3506,1132
2017-12-07,7,Singapore,Elite,95,165,30,2850,4950,0.25,3713,863
2017-12-08,5,United Kingdom,Standard,75,145,25,1875,3625,0.35,2356,482
2017-12-09,1,Singapore,Standard,60,100,35,2100,3500,0.1,3150,1050
2017-12-10,6,United States,Elite,100,190,40,4000,7600,0.1,6840,2840
2017-12-11,10,Italy,Premium,150,280,45,6750,12600,0.1,11340,4590
2017-12-12,5,Singapore,Standard,75,145,35,2625,5075,0,5075,2450
2017-12-13,9,United Kingdom,Premium,125,230,35,4375,8050,0.25,6038,1663
2017-12-14,7,United States,Elite,95,165,35,3325,5775,0.05,5486,2162
2017-12-15,7,Singapore,Elite,95,165,35,3325,5775,0,5775,2450
2017-12-16,7,United States,Elite,95,165,25,2375,4125,0,4125,1750
2017-12-17,5,Canada,Standard,75,145,30,2250,4350,0,4350,2100
2017-12-18,7,Singapore,Elite,95,165,35,3325,5775,0.05,5486,2162
2017-12-19,6,Singapore,Elite,100,190,45,4500,8550,0.25,6413,1913
2017-12-20,8,Canada,Premium,110,220,35,3850,7700,0.1,6930,3080
2017-12-21,3,Canada,Standard,40,100,30,1200,3000,0.1,2700,1500
2017-12-22,9,United States,Premium,125,230,35,4375,8050,0,8050,3675
2017-12-23,7,Canada,Elite,95,165,30,2850,4950,0,4950,2100
2017-12-24,10,United States,Premium,150,280,35,5250,9800,0.35,6370,1120
2017-12-25,7,Singapore,Elite,95,165,25,2375,4125,0.35,2681,307
2017-12-26,9,China,Premium,125,230,45,5625,10350,0.05,9833,4208
2017-12-27,6,United States,Elite,100,190,25,2500,4750,0,4750,2250
